id,first_name,last_name,email,phone,address,city,state,zip_code,ssn,date_of_birth,account_number,brokerage,symbol,company_name,transaction_type,quantity,price,total_value,commission,trade_date,trade_time,portfolio_value,risk_tolerance,investment_goal,annual_income,net_worth
TXN_000001,Emily,Miller,emily.miller@hotmail.com,+1-796-364-4564,3961 Broadway,Los Angeles,CA,72359,829-76-9998,1996-07-08,ACC_1288756,Merrill Edge,INTC,Intel Corporation,BUY,685,214.99,147268.15,2.92,2025-06-24,10:50:55,285059.19,Moderate,Income,160799,1986071
TXN_000002,David,Garcia,david.garcia@gmail.com,+1-646-467-4514,6914 Oak Ave,Phoenix,AZ,35596,290-21-6067,1994-07-19,ACC_7133343,Merrill Edge,NVDA,NVIDIA Corporation,SELL,799,242.75,193957.25,9.16,2025-06-08,10:30:41,64555.3,Moderate,Growth,43264,1422955
TXN_000003,Matthew,Martinez,matthew.martinez@outlook.com,+1-209-787-7979,875 First St,Fort Worth,TX,79189,832-65-7436,1976-12-24,ACC_8209098,E*TRADE,GOOGL,Alphabet Inc.,SELL,42,295.75,12421.5,1.24,2025-06-09,14:48:15,498148.4,Conservative,Speculation,151403,1742395
TXN_000004,Ashley,Garcia,ashley.garcia@gmail.com,+1-328-297-9974,3925 Cedar Ln,Jacksonville,FL,82827,878-46-6453,1972-11-13,ACC_2663242,TD Ameritrade,NFLX,Netflix Inc.,BUY,179,195.85,35057.15,1.59,2025-06-13,12:38:03,92437.38,Conservative,Growth,64945,998386
TXN_000005,Carol,Thompson,carol.thompson@hotmail.com,+1-166-989-7269,9546 Oak Ave,Columbus,OH,98058,384-43-7305,1971-04-21,ACC_3312672,Charles Schwab,ADBE,Adobe Inc.,SELL,946,473.88,448290.48,7.06,2025-06-04,15:42:14,208932.04,Aggressive,Income,117942,604121
TXN_000006,Michael,Miller,michael.miller@hotmail.com,+1-135-901-2017,7994 Elm Dr,San Jose,CA,70880,246-68-4514,1989-10-13,ACC_3917159,Fidelity,PYPL,PayPal Holdings Inc.,BUY,758,70.45,53401.1,10.94,2025-06-11,10:25:14,108670.35,Aggressive,Income,149361,1890761
TXN_000007,Carol,Lee,carol.lee@hotmail.com,+1-224-455-9720,235 Cedar Ln,San Antonio,TX,52979,810-61-8072,1983-08-29,ACC_2262762,TD Ameritrade,INTC,Intel Corporation,SELL,620,172.06,106677.2,2.97,2025-06-05,12:46:57,35300.68,Aggressive,Growth,30767,713944
TXN_000008,Donald,Taylor,donald.taylor@hotmail.com,+1-668-665-1866,3261 Broadway,Seattle,WA,58312,333-91-7752,1980-05-05,ACC_1105616,E*TRADE,SPOT,Spotify Technology SA,BUY,743,302.9,225054.7,1.98,2025-06-12,10:09:39,411970.37,Moderate,Income,177469,875967
TXN_000009,Mark,Lee,mark.lee@hotmail.com,+1-953-124-5032,4907 Broadway,New York,NY,41904,863-67-3614,1986-04-19,ACC_9348149,Interactive Brokers,INTC,Intel Corporation,BUY,335,187.67,62869.45,8.08,2025-06-09,14:58:23,403339.84,Aggressive,Growth,174191,1606244
TXN_000010,Betty,Robinson,betty.robinson@outlook.com,+1-258-937-6884,1002 Maple Way,Dallas,TX,58353,320-82-5559,1958-01-26,ACC_4207481,E*TRADE,ORCL,Oracle Corporation,SELL,126,436.56,55006.56,8.0,2025-07-04,15:46:19,372361.4,Moderate,Retirement,138395,1751312
TXN_000011,Robert,Ramirez,robert.ramirez@gmail.com,+1-992-697-5961,9094 Oak Ave,San Jose,CA,59602,711-63-7371,1957-01-23,ACC_7653319,Interactive Brokers,PYPL,PayPal Holdings Inc.,BUY,323,316.63,102271.49,5.48,2025-06-09,11:08:41,182105.64,Conservative,Income,191162,131832
TXN_000012,Sandra,Williams,sandra.williams@yahoo.com,+1-718-116-3276,8430 Pine Rd,Columbus,OH,54037,140-20-3229,1969-03-03,ACC_4471904,Ally Invest,MSFT,Microsoft Corporation,BUY,737,482.65,355713.05,8.58,2025-06-22,10:17:11,224914.42,Conservative,Income,73657,993661
TXN_000013,Sarah,Smith,sarah.smith@hotmail.com,+1-497-129-3530,2128 First St,Houston,TX,11555,693-88-3337,1965-12-15,ACC_4711077,Charles Schwab,NVDA,NVIDIA Corporation,SELL,447,145.91,65221.77,1.1,2025-06-05,10:38:24,470198.33,Moderate,Growth,108370,758347
TXN_000014,Andrew,Davis,andrew.davis@gmail.com,+1-827-446-8249,9944 Broadway,Columbus,OH,68756,327-92-4381,1973-10-14,ACC_4526686,Merrill Edge,UBER,Uber Technologies Inc.,BUY,314,520.64,163480.96,10.93,2025-07-03,12:51:05,53766.13,Conservative,Speculation,59321,149798
TXN_000015,Amanda,White,amanda.white@gmail.com,+1-114-648-6436,7263 Park Ave,San Antonio,TX,35319,731-67-6527,1995-10-24,ACC_6143785,Merrill Edge,ZOOM,Zoom Video Communications,BUY,448,174.67,78252.16,3.17,2025-06-08,12:49:25,166419.77,Conservative,Speculation,38511,458178
TXN_000016,John,White,john.white@yahoo.com,+1-852-810-6088,425 Pine Rd,San Francisco,CA,92946,824-53-7773,1962-08-02,ACC_5317858,Fidelity,SPOT,Spotify Technology SA,BUY,212,312.2,66186.4,10.5,2025-06-18,12:51:52,339445.23,Moderate,Growth,32801,632042
TXN_000017,Karen,Williams,karen.williams@gmail.com,+1-864-239-1097,7859 Pine Rd,San Antonio,TX,17038,839-61-3760,1998-12-20,ACC_9342059,Webull,MSFT,Microsoft Corporation,BUY,761,476.71,362776.31,1.73,2025-06-08,13:09:35,335659.33,Aggressive,Speculation,126302,720707
