id,first_name,last_name,email,phone,address,city,state,zip_code,ssn,date_of_birth,account_number,brokerage,symbol,company_name,transaction_type,quantity,price,total_value,commission,trade_date,trade_time,portfolio_value,risk_tolerance,investment_goal,annual_income,net_worth
TXN_000001,Sandra,Martin,sandra.martin@gmail.com,+1-378-960-6474,9826 Elm Dr,Columbus,OH,74771,164-29-4275,1967-03-26,ACC_5719852,Webull,MSFT,Microsoft Corporation,BUY,842,426.53,359138.26,10.84,2025-06-21,10:02:07,71813.73,Moderate,Growth,137711,555082
TXN_000002,Emily,Jones,emily.jones@gmail.com,+1-894-836-3144,4085 Pine Rd,Houston,TX,82876,922-23-6703,1995-04-11,ACC_2642607,E*TRADE,SPOT,Spotify Technology SA,SELL,708,340.48,241059.84,8.12,2025-06-12,11:06:31,232992.43,Aggressive,Speculation,120157,1909427
TXN_000003,Matthew,Clark,matthew.clark@gmail.com,+1-195-318-6191,1815 Broadway,Phoenix,AZ,88252,345-20-8828,1993-06-10,ACC_9686897,Webull,RBLX,Roblox Corporation,SELL,457,306.11,139892.27,5.28,2025-05-25,10:59:14,185255.83,Conservative,Income,144199,903881
TXN_000004,Matthew,Moore,matthew.moore@yahoo.com,+1-511-657-3048,9785 Second St,New York,NY,87769,510-67-8308,1998-02-17,ACC_1730487,Merrill Edge,UBER,Uber Technologies Inc.,BUY,115,173.81,19988.15,3.0,2025-06-04,13:24:49,102469.03,Aggressive,Retirement,183075,440634
TXN_000005,Steven,Johnson,steven.johnson@yahoo.com,+1-198-408-6822,9953 Oak Ave,Charlotte,NC,95706,811-35-7026,1970-11-28,ACC_9906578,Interactive Brokers,NVDA,NVIDIA Corporation,SELL,244,481.0,117364.0,1.79,2025-05-13,12:09:50,415566.57,Moderate,Income,53174,85426
TXN_000006,Sandra,Perez,sandra.perez@hotmail.com,+1-912-661-8323,2678 Elm Dr,Denver,CO,58356,757-29-4487,1977-05-07,ACC_5738716,Ally Invest,META,Meta Platforms Inc.,SELL,437,333.94,145931.78,8.53,2025-07-03,09:07:38,177895.51,Conservative,Speculation,111545,208415
TXN_000007,Emily,Thompson,emily.thompson@hotmail.com,+1-747-518-3528,3339 Broadway,Houston,TX,99873,839-86-6506,1971-05-29,ACC_3828867,Interactive Brokers,ZOOM,Zoom Video Communications,BUY,253,438.43,110922.79,2.14,2025-07-03,10:08:09,86102.62,Aggressive,Income,70318,1192797
TXN_000008,Daniel,White,daniel.white@yahoo.com,+1-261-403-2963,5629 Pine Rd,Fort Worth,TX,61763,962-94-9146,1991-02-12,ACC_6526077,Robinhood,MSFT,Microsoft Corporation,BUY,447,250.19,111834.93,10.9,2025-05-22,10:15:12,120061.44,Aggressive,Speculation,105118,487028
TXN_000009,Sandra,Jackson,sandra.jackson@gmail.com,+1-768-476-8823,3045 Maple Way,San Antonio,TX,99435,542-72-3520,1988-10-28,ACC_4174856,Robinhood,RBLX,Roblox Corporation,SELL,134,547.2,73324.8,5.58,2025-06-08,11:33:10,180413.02,Conservative,Speculation,116685,1104275
TXN_000010,Steven,Brown,steven.brown@hotmail.com,+1-892-347-9751,9949 Maple Way,Fort Worth,TX,73743,588-67-8402,1978-10-26,ACC_6173408,Ally Invest,NVDA,NVIDIA Corporation,BUY,771,411.04,316911.84,6.08,2025-06-03,11:40:59,320532.06,Moderate,Retirement,156452,773982
TXN_000011,Jane,Thomas,jane.thomas@gmail.com,+1-963-882-3506,1607 Cedar Ln,Washington,DC,20898,857-18-9005,1972-01-11,ACC_5235879,Vanguard,INTC,Intel Corporation,SELL,854,491.41,419664.14,1.2,2025-06-09,09:34:47,77594.46,Aggressive,Retirement,140804,1805560
TXN_000012,Karen,Thomas,karen.thomas@yahoo.com,+1-317-428-2359,9938 Second St,Columbus,OH,72923,700-56-4639,1992-01-08,ACC_4034057,TD Ameritrade,TSLA,Tesla Inc.,SELL,411,496.97,204254.67,2.99,2025-06-11,15:07:58,455032.32,Aggressive,Retirement,155782,1114378
TXN_000013,Carol,Rodriguez,carol.rodriguez@yahoo.com,+1-572-460-5341,2540 Oak Ave,Washington,DC,68297,859-33-5494,1958-12-28,ACC_3196352,Robinhood,PLTR,Palantir Technologies,SELL,648,181.94,117897.12,7.13,2025-05-24,15:16:49,486457.89,Conservative,Growth,105439,1253068
TXN_000014,Matthew,Lewis,matthew.lewis@gmail.com,+1-902-486-9886,9867 Park Ave,Los Angeles,CA,18247,908-40-9843,1987-08-13,ACC_1484474,Merrill Edge,TSLA,Tesla Inc.,BUY,283,112.55,31851.65,7.86,2025-05-14,11:49:54,61092.92,Conservative,Growth,61987,1314010
TXN_000015,Jennifer,Jones,jennifer.jones@yahoo.com,+1-496-278-6844,68 Main St,Columbus,OH,15614,560-30-5961,1998-07-10,ACC_1496015,Charles Schwab,RBLX,Roblox Corporation,SELL,317,356.68,113067.56,2.7,2025-06-15,09:37:50,41151.15,Aggressive,Retirement,40561,614423
TXN_000016,John,Moore,john.moore@hotmail.com,+1-888-714-7975,6683 Maple Way,Seattle,WA,40317,616-66-9758,1957-04-21,ACC_6564373,Merrill Edge,PYPL,PayPal Holdings Inc.,BUY,163,183.58,29923.54,9.77,2025-05-27,12:00:35,177292.56,Conservative,Income,104203,1186301
TXN_000017,Betty,Thomas,betty.thomas@yahoo.com,+1-454-197-2883,8430 Main St,San Diego,CA,82776,836-22-4687,1964-02-18,ACC_5663291,Webull,ZOOM,Zoom Video Communications,BUY,692,443.39,306825.88,10.58,2025-06-04,14:41:41,20934.7,Conservative,Speculation,106855,228196
